567436959849906176	rt @alexxthegreat24: gonna use this fire to stay warm today http://t.co/sjqga6rzo1	14
570409065861394432	\"@__patttttt: \"@alexxthegreat24: \"@shayygorgeous_: love don't change 💍👑💕💙 http://t.co/fx7x79dhls\" high key jealous af 😂\"\"😩	14
561974808930287617	#superbowl ads 2015: snoop dogg for #eat24 http://t.co/icvyoyxy5j http://t.co/dn6hsnngrc	13
570403435591237632	rt @eat24: bacon soda! https://t.co/xdqlkyka7b	13
568956396386955264	listen, @eat24, i get it. travis is hot. but @studio56k is mine and i don't share. that's why we order two of everything.	13
568545550196305920	things just got real.. @eat24 - http://t.co/x7yz8p89el #lootcrate http://t.co/tm5suyqnzx	12
565295661110005760	san francisco-based yelp purchases online takeout order site eat24 for $134 million. http://t.co/a3nuth1ofw	12
571168974349713409	rt @alexxthegreat24: \"@yxngflackoo: lil einstein's gates remix  🍑🍆✊ dude just straight ignorant! 😂😂😂💀  http://t.co/ipaaa2ttos\" ion get tire...	12
570405990471831553	😍😍 awwwwwwww \"@__patttttt: \"@alexxthegreat24: \"@shayygorgeous_: love don't change 💍👑💕💙 http://t.co/yjx1zfnbsj\" high key jealous af 😂\"\"	12
568281372747538432	rt @eat24: good dates end without pants. the best dates are pantless from the start.	12
562059537189187584	rt @eat24: 🎶🌠the more you know 🎶🌠 @katyperry #halftimeshow https://t.co/eubvwpx4m7	12
565204048400240640	yelp expands into online food ordering with eat24 purchase http://t.co/nhblm1ukki	11
570271674588921857	rt @alexxthegreat24: white people wearing shorts... there is snow on the ground what are you doing	11
565299881389334528	order food from @eat24 #waitingforthedrill http://t.co/gucbmwfmk0	11
564299274473598976	rt @eat24: around 95% of marshmallow fluff was harvested from the great stay puft assault from new york circa 1984. #science	10
562705155586805762	rt @eat24: when someone offers to buy us lunch http://t.co/hm2ake5vhf	10
565212664926724096	yelp buys eat24 to make ordering takeout on your phone easier http://t.co/kjsv9edayn #android http://t.co/hqicwpf5o3	10
571170165246840832	rt @alexxthegreat24: \"@_yg215: i thought i had bunnies🐰😭 http://t.co/ekrfvjcaku\" 😭😭😂😂😂😩😩😩😂😭😂😩	10
566707304016654336	rt @eat24: why did chicken get nuggets and fish get sticks? #deepquestions	9
562460712736657408	rt @eat24: 2 friends + 1 order of fries = one less friend #math	9
562056880244006912	rt @eat24: those beach balls are our spirit animals. #halftime	9
568998757808906240	rt @eat24: a sausage patty is only called sausage patricia when her mom is really mad. #foodfacts	9
563594215712890880	the couch is so nice your butt-groove a work of art thus @eat24 #haiku	9
569257812456554496	rt @eat24: is \"baby i like it raw\" about eating carrots? asking for a friend.	9
543472453108781056	rt @jenstaker: .@eat24 has some of the best email marketing in all of the land. http://t.co/rx64jxin54	9
565152005443051521	whoa! $yelp just acquired eat24 -> http://t.co/xxej1bs28h  and now they're raising guidance -> http://t.co/gkccpxjwsn	9
571535310934425601	did you guys know that @queenkeeks is an expert on margaritas, fashion and ordering extra jalapeno on her pizza? #eat24randomshoutout	9
564958192518823936	rt @eat24: feeling like you can't do anything right? imagine how celery must feel.	9
567350320204750848	rt @rbegreat24: idk micah personally, but few have told me his story and he is quite the inspiration. it's time to #getmicahonsportscenter ...	9
565286084524146688	rt @eat24: we want to thank you guys for all the love and support on our decision to get married to @yelp so we can help keep pants off nat...	9
566399470405836800	rt @eat24: i have food. #3wordssweeterthaniloveyou	8
570211957778870272	rt @alexxthegreat24: gotta go to wal mart to get milk and bread so i can make a milk sandwich	8
565204333953036288	bits blog: yelp buys eat24, an online food-ordering service, for $134 million http://t.co/uvmsyj14ls	8
570431404615426049	\"@lydeshan:  \"@alexxthegreat24: \"@shayygorgeous_: love don't change 💍👑💕💙 http://t.co/oafpvinom7\" high key jealous af 😂\"\" awwww 😻😩\"	8
569662967010238464	rt @eat24: one neat trick to make all cookies your cookies, is to lick them. #themoreyouknow	8
567522239277707265	rt @alexxthegreat24: \"@og_tonto: 😂😂😂😂 \"@harmoniee__: what the fuck did i just watch😂😂😂😂 http://t.co/p2qv1tvxyc\"\" beat was fye tho 😂😂	8
567110558886162432	rt @alexxthegreat24: want it to snow enough for some snow cream 😁	8
570045627863855106	rt @ktownheat24: been coolin on some dolo 💩 lately 🚶	8
565363859134091266	rt @eat24: don't confuse jalapeno poppers with jalapeno poopers. one is exciting and fun, the other ruins parties.	8
566675835328163840	rt @eat24: the person who knew biscuits could be combined with cheddar #youtherealmvp	8
570451908793671680	rt @eat24: it takes two to tango*. *finish a xl pizza	8
562055781390876672	rt @eat24: @alorasdad @mikakiki @realgilbert here it is in case you missed it: https://t.co/yvg2f53ddt	8
562434166802100226	rt @eat24: the enlightenment was the period in history when people realized burritos were possible #foodhistory	8
565192546033217538	goodness, yelp buys eat24, food delivery, to ramp up restaurant delivery http://t.co/f7bhq3cegz smart move.	8
568917481022210048	rt @eat24: only cream cheese has found a way to be a cheese and a frosting.	8
565739598182383616	rt @eat24: when you think you've had enough pizza, you can still eat one more slice. #protip	8
562042096576892928	rt @alexxthegreat24: go falcons 😎	8
567120174839791616	going #snowhere fast, the snowst opted for delivery 👻🍴 @eat24 #bosnow #bostonsnowstorm http://t.co/fm9eyyixak	8
570764575190093824	rt @eat24: pizza shoes because that's just how we roll. deal with it. http://t.co/lyh1y00t3m	8
570083492152913920	rt @alexxthegreat24: \"@itsworidstar: james harden, professional ankle breaker. http://t.co/of4pznfcm8\" @ballen_22	8
571505342162583553	rt @eat24: only eating egg whites is like only eating the frosting. stop it.	8
569948185164189697	what pairs well with an artisan peanut butter and crunch berry sandwich, @eat24? #lunchdilemma	7
565708186574155778	rt @eat24: crunchy peanut butter will steal your granola, smooth peanut butter will steal your girl. #foodfacts	7
562073001487659008	rt @eat24: hey @mophie, our phone just died. can we borrow yours to order up some eggrolls? #hangry	7
565220092858728448	yelp buys delivery network eat24 for $134m to ramp up in food operations by @ingridlunden http://t.co/p9jsczpdgz	7
565293444587737088	now that @yelp bought @eat24 for $134 million, the list of restaurants you can order from online will grow  http://t.co/tqydnn2ysg	7
564569459483234304	rt @eat24: the woman who put the chocolate at the bottom of drumsticks #youtherealmvp	7
562075175357669376	rt @eat24: we're definitely #upforwhatever, @budlight. a/s/l?	7
565325207968440320	eat24 and yelp get married: internal memo from eat24 ceo nadav sharon http://t.co/a6eebd05ve	7
562078094551285760	they're still delivering egg rolls during this, @eat24!? #hangry #staypowerful http://t.co/xxmd0bkmau	7
565616746980446211	rt @eat24: if someone walks around with a briefcase full of cheeseburgers do you question what they're doing, or question what you're not d...	7
562037940462039040	rt @eat24: the team that eats the most hot dogs during a game are 72% more likely to win. #notfactchecked	7
569195857288933376	rt @eat24: one neat trick to make all cookies your cookies, is to lick them. #themoreyouknow	6
566042373579612160	rt @alexxthegreat24: christians that hate gays just irritate me 😒	6
569998993155084288	rt @eat24: #protip: if you can still see the meatballs through the cheese, you need more cheese.	6
563567829602304000	rt @eat24: artichokes are into some kinky stuff. #foodfacts	6
565240829254828032	yelp buys food delivery service eat24 http://t.co/qrkrnvvpyj #privacy	6
565216160816582656	yelp buys food ordering & delivery service eat24 http://t.co/d8j6matyr5 http://t.co/lmornjiqbl	6
563156323895099393	rt @eat24: people are always telling olives \"olive you\" to be funny, but they really wish someone meant it.	6
565176279570583553	yelp buys online food ordering service eat24 for $134 million  via @josephjett #business http://t.co/sf1eyxc2id	6
569971319049048064	rt @eat24: okay, who did this because lol. @snoopdogg @realgilbert http://t.co/tet5a4llnw	6
563769378383343617	rt @offbeat24: @mike_beacham @gop thank god for the crusades! don't appolgize! https://t.co/9daend7qut	6
562103176657395712	rt @eat24: if real fruit tasted like @skittles, we'd totally be healthy.	6
564294415020081153	thx, @eat24, for allowing me to spend another glorious weekend secluded in my house, having to put on pants only to see the delivery guy.	6
562066930115567616	rt @alexxthegreat24: \"@samwadsy: super bowl 2016 please?! 😱👏 http://t.co/yxh2regel1\" lol this won't happen	6
565356431034310657	rt @kylethegreat24: i want summer. fishing, country music, bonfires, riding with the window ⬇️, friends, not having a care in the world and...	6
565344943129235458	. @eat24 really came through in a pinch after my first order was unavailable! thanks lea! http://t.co/qvcuxvvqrb	6
567205562946187265	rt @eat24: only the french could pull off onion soup.	6
565166207834128384	yelp buys eat24 for $134 million - http://t.co/sr5k2iqzam http://t.co/maanshdoi7	6
566000636798324736	fact:  froyo makes you sexy.  @eat24 makes it easy...to be sexy. http://t.co/zsox2ytbmo	6
566829306442436608	rt @eat24: 1 x-large pizza ÷ 5 friends = one friend getting boned outta pizza #math	6
568249874476621824	rt @eat24: think of all the times you touched your phone and no food came out. we want to change all that.	6
565995990151593987	heads up--@yelp will soon begin deliver food as they acquired @eat24 for $134 million. the delivery food service boom is now underway!	6
567678268007264256	rt @alexxthegreat24: rest easy alex 🙏	5
566444873960919040	rt @alexxthegreat24: \"@noahlalli47: @itsyadudesmiley @foxyyyroxyy because you guys brought your cheer team\"😭😭😭😭😭😭😭😭😭😭😭	5
565274732074106883	wow. @yelp bought @eat24 for $134m to ramp up food operations http://t.co/qhgmbxpkqg	5
562042127597572096	rt @reneeowley: @eat24 shout out to all the delivery people working hard so we can eat today! #america #sb49 #weare12 http://t.co/ojxdoemfy1	5
566332552206512128	well done, @eat24 @yelp. slow clap for this email. http://t.co/zjin83craj	5
570691743668158465	rt @alexxthegreat24: \"@woridstarhlphop: wiggins locked this nigga harden up http://t.co/42sddxjqce\" clamps 🔒🔒🔒🔒🔒🔒🔒	5
565194994126839811	as a marketer, i've always loved @eat24's approach. huge congrats on the acquisition by @yelp!	5
562080955142139904	rt @eat24: with @wix you can create your own website. snoop and gilbert's eggroll emporium anyone? #itsthateasy	5
561978019783651328	super bowl commercials: eat24 app ad features snoop dogg, gilbert gottfried  http://t.co/uftnpvc87e	5
567377277714190336	rt @eat24: why don't mathematicians make venn diagrams out of donuts? come on people #marketing	5
562681385157402624	because it's #snoopdog and @realgilbert gottfried need we say more? brilliant @eat24  http://t.co/nmwfxyvuaj http://t.co/xuvlqaixsi	5
569154638697476096	the loading screen copy on the @eat24 app is superb, such a great way to show off their brand personality http://t.co/y43vwttyyt	5
562084041256873986	rt @alexxthegreat24: might as well fight now	5
565175415934033921	$yelp is up 7% now on news that it bought @eat24, but it's still down about 20% since thursday earnings http://t.co/mhje4gmrey	5
563121321908125696	rt @alexxthegreat24: definitely buying myself a valentine's day gift 💁	5
563824547712229376	rt @eat24: minced garlic is the smallest known unit of measurement for garlic #science	5
567750561915625474	3 free apps that make eating out (and ordering in) healthy and affordable @eat24 @grubhub @healthyout #foodie http://t.co/izspaj5hb0	5
567116233531998209	the first rule of eat24 club used to be don't talk about eat24 club, but that turned out to be a terrible marketing strategy. talk away!	5
567413458006978560	yelp compra aplicativo de delivery eat24: http://t.co/hhhuw6blxq	5
564625647708815360	had your first argument? nothing smoothes things over like butter cream frosting. not a cake. just the frosting. #askeat24	5
566797814223867905	rt @eat24: the great depression was a result of a bacon shortage combined with a radish surplus. #foodhistory	5
562049876372910081	high five #godaddy for being #supercreative with #hashtags! love, #eat24 @godaddy http://t.co/ssnbsd4uvi	5
566423030088613888	rt @eat24: raise your buffalo wings and help us toast to a beautiful future using code 'vows24'.	5
561722270155284480	.@snoopdogg and @realgilbert star in @eat24's #superbowl ad: http://t.co/vtedwnljvv by @jeffcbeer http://t.co/gcnsy5oykh	5
569715559757176833	@realgilbert @snoopdogg more of these commercials please #eat24	5
565012508956975104	rt @eat24: is there a reason people aren't making sandwiches on corn bread?	5
568153909358768128	can't wait for summer nights at @couchdrake house. @kylethegreat24 @teamseff_ @mueller_21 and hef	5
566074563872567296	@keizaron @eat24 sooooo anyone interested? http://t.co/k3mkb59ha0	5
569715652015083520	shoutout to #eat24 for putting my man @realgilbert back in a commercial.	5
564264969546788864	rt @eat24: anytime you're bummed out, think about how sashimi sacrificed its life for you.	5
562022834999132160	@realgilbert please tell me there are more commercials! @eat24	5
563069817155231745	forget flowers. a sashimi combo is the real way to her heart. #askeat24	5
570600735190048768	\"@__patttttt: \"@alexxthegreat24: \"@shayygorgeous_: love don't change 💍👑💕💙 http://t.co/xdmd6avsin\" high key jealous af 😂\"\" jealous ash 😩	5
564856515337940995	packages with people: sidecar launches same-day delivery service, partners with eat24 http://t.co/rssdote0tb http://t.co/ehapghbslm	5
